player_id,player_name,ERA,FIP,WHIP,K9,BB9,HR9,KBB,QS,GS,year
14798,이승현,4.23,5.08697,1.43,7.007999999999999,3.813,0.927,1.8378000000000003,5.0,17.0,2024
14808,김기중,6.5600000000000005,5.98248,1.86,5.949,4.119,1.22,1.4444,1.0,11.0,2024
14847,이믿음,15.75,6.18163,3.75,4.5,9.0,0.0,0.5,0.0,1.0,2024
14871,김규연,7.02,5.48248,1.59,6.102,4.271,0.915,1.4286,0.0,1.0,2024
15011,반즈,3.35,3.89911,1.23,10.215,2.748,1.075,3.7174,17.0,25.0,2024
15013,문동주,5.169999999999999,4.77953,1.67,7.76,3.0720000000000005,1.132,2.5263,7.0,21.0,2024
15028,이기순,3.66,6.29604,1.78,10.983,10.525,0.915,1.0435,0.0,2.0,2024
15045,이민석,7.26,6.557440000000001,2.03,5.806,7.258,0.871,0.8,0.0,5.0,2024
15063,황동하,4.44,5.37937,1.4800000000000002,7.055000000000001,3.832,1.132,1.8409,2.0,21.0,2024
15071,윤석원,11.42,7.80855,2.19,0.519,3.635,1.558,0.1429,0.0,1.0,2024
15143,벤자민,4.63,4.94254,1.26,9.381,2.886,1.6840000000000002,3.25,10.0,28.0,2024
15146,페냐,6.27,5.91645,1.63,6.9910000000000005,4.821,1.446,1.45,2.0,9.0,2024
15153,브랜든,3.12,2.84763,1.15,9.0,1.32,0.36,6.8182,10.0,14.0,2024
15432,윤영철,4.19,5.34591,1.53,6.392000000000001,4.739,0.882,1.3488,3.0,18.0,2024
15450,신영우,10.61,8.45306,2.57,5.786,14.464000000000002,0.0,0.4,0.0,2.0,2024
15453,목지훈,12.0,8.98718,2.78,3.0,10.0,1.0,0.3,0.0,3.0,2024
15455,이준호,7.48,5.67284,1.97,7.662,4.743,1.277,1.6154,0.0,2.0,2024
15462,송영진,5.8,5.41854,1.64,6.07,4.621,0.906,1.3137,3.0,20.0,2024
15496,이호성,7.4,7.047180000000001,2.04,5.6,5.2,1.8,1.0769,0.0,12.0,2024
15508,최준호,5.1,5.54085,1.37,7.216999999999999,3.733,1.369,1.9333,3.0,15.0,2024
15509,김유성,6.43,5.26734,1.86,9.321,7.714,0.321,1.2083,0.0,7.0,2024
15527,강건,11.25,9.33163,3.0,6.75,9.0,2.25,0.75,0.0,1.0,2024
15531,후라도,3.36,3.88907,1.14,7.991,1.513,0.898,5.2813,23.0,30.0,2024
15643,산체스,4.22,3.91288,1.52,9.45,3.544,0.338,2.6667,2.0,11.0,2024
15644,엘리아스,4.08,4.31168,1.2599999999999998,7.569,2.183,0.946,3.4667,10.0,21.0,2024
15860,코너,3.4300000000000006,4.50475,1.09,8.888,2.25,1.181,3.95,13.0,28.0,2024
15861,레예스,3.81,4.31427,1.31,7.125,1.875,0.938,3.8,12.0,26.0,2024
15864,육선엽,5.29,8.29045,2.12,5.824,9.0,1.588,0.6471,0.0,1.0,2024
15882,김대호,11.25,8.18163,2.25,2.25,4.5,2.25,0.5,0.0,1.0,2024
16023,엔스,4.19,4.09505,1.31,8.427,2.684,0.8590000000000001,3.14,13.0,30.0,2024
16027,원상현,7.03,4.68316,2.08,8.128,4.27,0.827,1.9032,1.0,10.0,2024
16028,육청명,5.44,6.501780000000001,1.61,4.03,4.03,1.209,1.0,0.0,10.0,2024
16053,임상현,6.469999999999999,6.388650000000001,1.71,4.686,5.132,1.116,0.913,1.0,7.0,2024
16057,손주환,9.82,4.12254,1.09,9.818,4.909,0.0,2.0,0.0,1.0,2024
